你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第3批，共4批）---

ID | 原文 | 译文
1457 | 章节：\n1.秘境洞穴分为多个章节，土拨鼠领袖大人需要按顺序挑战不同的章节。\n2.升级到特定时代可以开启特定区域的章节。\n\n奖励：\n1.首通奖励：首次通关章节可以获取的奖励。\n2.通关奖励：通关已领取过首通奖励的章节可获取的奖励。\n3.星级奖励：不同章节具有特定的星级挑战，满足星级挑战条件并且通关，会根据通关时星级发放星级奖励\n\n战斗：\n1.出战英雄：每次进入章节时，默认所有英雄都将出战。战斗使用系统部队，不会消耗土拨鼠领袖实际拥有的部队。\n2.战斗限制：每次战斗结束后，英雄剩余部队与怒气值将会继承至下一场战斗。若有英雄在战斗中消耗了所有部队，则在当前章节中，此名英雄将无法出战。\n\n遗物：\n1.土拨鼠领袖在洞穴探险中，有概率遇到各种神奇的遗物加持。获取遗物可以极大地提升在当前章节中的实力，章节结束时，所获取的遗物将会清空。\n\n重置：\n1.每日24点将会重置土拨鼠领袖的挑战情况，并结算未领取的奖励。土拨鼠领袖可以重新挑战获取星级、通关奖励 | 章节：\n1.The Mystic Cave is divided into multiple chapters. The Marmot Leader must clear the chapters in order.\n2.Upgrade to specific eras to unlock chapters in specific regions.\n\nRewards:\n1.First Clear Rewards: Rewards you can get when you clear a chapter for the first time.\n2.Clear Rewards: Rewards you can get when clearing a chapter whose First Clear Reward has already been claimed.\n3.Star Rewards: Each chapter has specific Star Challenges. If you meet the Star Challenge requirements and clear the chapter, you will get Star Rewards based on the star rating at clear.\n\nBattle:\n1.Heros in Battle: Every time you enter a chapter, all Heros are deployed by default. Battles use system troops and will not consume the Marmot Leader’s actual troops.\n2.Battle Rules: After each battle ends, the remaining troops and Rage of each Hero will be carried over to the next battle. If a Hero’s troops are completely depleted in battle, that Hero cannot participate again in the current chapter.\n\nRelics:\n1.During cave exploration, the Marmot Leader may encounter various mysterious Relics. Getting Relics greatly increases your power in the current chapter. All Relics obtained will be cleared when the chapter ends.\n\nReset:\n1. At 24:00 every day, the Marmot Leader’s challenge progress will be reset, and any unclaimed rewards will be settled. The Marmot Leader can be challenged again to earn stars and clear rewards
1458 | 1.每位土拨鼠领袖仅可购买一次海怪试炼礼包\n2.守卫避难所成功击退海怪后可以获得免费奖励，购买成功后解锁更多丰厚奖励 | 1.Each Groundhog Leader can only purchase the Kraken Trial Pack once\n2.After successfully defending the Shelter and repelling the Kraken, you can claim free rewards, and purchasing the Pack will unlock even more generous rewards
1459 | 1.联盟建盟2个小时后才可开启围猎巨兽行动。在开启前，联盟需要先建造捕熊陷阱，通过陷阱定时开启行动，吸引丧尸巨熊现身。\n2.丧尸巨熊现身之时，联盟成员需要通过集结攻击丧尸巨熊。\n3.每次行动时间固定为30分钟，期间个人造成的累积伤害越高，可获得的积分越多，对应的积分奖励也会越好。提升集结伤害加成可以帮助集结成员获取更多积分。\n4.每次行动前，联盟成员可通过捐献加强陷阱效果，削弱巨兽。\n5.土拨鼠领袖入盟47小时后才可以参与联盟的围猎巨兽，特别的，对于尚未参加过围猎巨兽的土拨鼠领袖，首次参与时不会受到入盟时间限制。 | 1.After the Alliance is founded for 2 hr, you can start a Behemoth Hunt. Before starting, the Alliance must first build a Bear Trap and use it to schedule the Hunt, luring the Zombie Behemoth Bear to appear.\n2.When the Zombie Behemoth Bear appears, Alliance members need to use a Rally to Attack the Zombie Behemoth Bear.\n3.Each Hunt lasts a fixed 30 min. The higher your total personal damage during this period, the more Points you earn and the better the corresponding Points rewards will be. Increasing Rally damage bonuses helps Rally members gain more Points.\n4.Before each Hunt, Alliance members can donate to enhance the Trap’s effect and weaken the Behemoth.\n5.A Groundhog Leader can only join the Alliance’s Behemoth Hunt after being in the Alliance for 47 hr. However, for Groundhog Leaders who have never joined a Behemoth Hunt before, their first participation is not restricted by Alliance join time.
1460 | 1.税收会基于当前金币产量，快速获取大量金币。金币产量越高，税收获得的金币数量越高。\n2.税收当前可以立即领取当前{num1}分钟产量的金币；每天有一次免费机会，每天重置。 | 1.Tax is based on your current Gold production and quickly grants a large amount of Gold. The higher your Gold production, the more Gold you gain from Tax.\n2.You can claim Gold equal to your Gold production for {num1} min instantly with Tax; you get one free chance per day, which resets daily.
1461 | 1.活动期间，可根据积分累计或完成任务条件获得对应任务奖励\n2.活动结束时，会根据土拨鼠领袖在获取的积分总和进行排名，并发放对应的排名奖励。 | 1.During the Events, you can earn the corresponding mission rewards based on your accumulated Points or mission completion\n2.At the end of the Events, Groundhog Leaders will be Ranked according to their total acquired Points, and the corresponding Rank rewards will be issued.
1462 | 探险家马克波罗正在号召大家猎杀海怪，营造利于探险的海洋环境！\n1.海怪强大，需要与盟友一同集结攻击；\n2.集结战胜海怪可以获得积分，根据联盟积分可以领取对应积分奖励，根据联盟排名可以获得排名奖励；\n3.完成个人集结任务，可以获得英雄马可波罗的碎片。 | Explorer Marco Polo is calling on everyone to hunt Sea Monster and create a sea environment favorable for exploration!\n1.Sea Monster, which is powerful, must be Attacked by launching a Rally with your allies;\n2.Win a Rally against a Sea Monster to earn Points. You can Claim corresponding Point rewards based on your Alliance Points, and receive Rank rewards based on your Alliance Rank;\n3.Complete personal Rally tasks to get Heros Marco Polo shards.
1463 | 1.活动期间，土拨鼠领袖可通过开启每日任务的活跃宝箱获得寻宝罗盘提升等级。\n2.提升等级后，您将获得更加丰富的奖励。\n3.活动结束后，未领取的奖励将发送至您的邮箱。 | 1.During the Events, Marmot Leaders can get Treasure Compasses to level up by opening the activity chests in Daily Quests.\n2.After leveling up, you will receive better rewards.\n3.After the Events end, any unclaimed rewards will be sent to your mailbox.
1464 | 1.丧尸之王会在每天的指定时间出现在大海上的随机位置，各位土拨鼠领袖可前往挑战。\n2.每次挑战尸王会获得一定积分和挑战奖励，积分可用于解锁自身的成就。\n3.每次活动结束后，会根据当日单次挑战的最高积分排名，发放排名奖励。 | 1.The Zombie King will appear at a random location on the ocean at a set time every day, and all Groundhog Leaders can go challenge it.\n2.Each challenge against the Zombie King grants a certain amount of Points and challenge rewards, and Points can be used to unlock your own Achievements.\n3.After each Event ends, Rank rewards will be distributed based on the highest single-challenge Points of the day.
1465 | 1.活动期间，土拨鼠领袖将所有指定英雄升至指定星级即可获得高额奖励。\n2.活动结束后，未领取的奖励将通过邮件方式补发。 | 1.During the event period, the Groundhog leader can get great rewards by raising all designated Heros to the required star level.\n2.After the Event ends, any unclaimed rewards will be reissued via Mail.
1466 | 1.活动期间，提升总战力，可以免费获得{buildtype_101}永久限定外观。\n2.本次活动您可以免费领取高额价值的豪华大礼！ | 1.During the Events, by increasing your total Power, you can get the {buildtype_101} permanent exclusive appearance for free.\n2.In this Events, you can Claim a luxurious gift pack of great value for free!
1467 | 又有城市沦陷了，尸潮从被感染的城市中倾巢而出，请土拨鼠领袖们做好防御准备！\n1.活动时间由盟主或官员进行预约，可以选择活动当天10点至23点的时间开启。\n2.根据防御时击败的尸潮兵力可以获得积分，个人和联盟的积分排名较高的，可以根据排名获得丰厚的奖励。\n【活动规则】\n1.主堡等级低于10级的玩家以及入盟时间未满15小时的玩家无法参与活动。\n2.尸潮会先后发起19波攻势，攻击成员们的避难所。其中，第4波与第12波为突击波，尸潮随机突击部分避难所，第8波和第16波为精英波，精英尸潮将挑战盟中精英。若土拨鼠领袖能成功防御19波，则可以在第20波向被感染的城市发起反攻，联盟成员在5分钟内成功摧毁所有被感染的城市，则可通关当前难度。\n3.避难所被尸潮攻破后，会记为失败1次，当失败次数累计2次，本次活动视为出局。出局后仍可继续驻守其他盟友获取积分。\n4.增援盟友击败尸潮时，也可以根据击杀获得相应积分。\n5.在第20波时，仅有未出局的土拨鼠领袖可以发起集结，所有联盟成员均可参与集结。\n【防守规则】\n1.以城防大厅上阵英雄为防守编队，根据内城剩余兵力填充该队伍的兵力容量，构成避难所的驻防队伍。若避难所中无剩余的兵力，则视为无防守队伍。\n2.支援其他盟友的队伍，按照集结规则参与其防守。 | Another city has fallen, and the corpse tide is pouring out of the infected cities. Marmot Leaders, get ready for Defense!\n1. The Events time is scheduled by the Alliance Leader or Officers, and can be set to start between 10:00 and 23:00 on the Events day.\n2. You can earn Points based on the corpse tide forces defeated during Defense. Players and Alliances with higher Points Rank can claim generous rewards based on their Rank.\n【Events Rules】\n1. Players whose Main Fortress is below Lv.10, and players whose Alliance join time is less than 15 h, cannot participate in this Events.\n2. The corpse tide will launch 19 waves of Attack in sequence against members’ Shelters. Among them, the 4th and 12th waves are Assault Waves, in which the corpse tide will randomly assault some Shelters. The 8th and 16th waves are Elite Waves, where the Elite corpse tide will challenge the Alliance elites. If Marmot Leaders successfully defend against all 19 waves, they can launch a counterattack against the infected cities on the 20th wave. If Alliance members destroy all infected cities within 5 minutes, the current difficulty will be cleared.\n3. When a Shelter is breached by the corpse tide, it will be counted as 1 failure. When your total failures reach 2, you are eliminated from this Events. After being eliminated, you can still garrison other allies to gain Points.\n4.When reinforcing allies to defeat the corpse horde, you can also earn corresponding Points based on kills.\n5. In Wave 20, only Groundhog Leaders who are still in play can initiate a Rally, and all Alliance members can join the Rally.\n【Defense Rules】\n1. The Heros deployed in the City Defense Hall form the defense formation. The remaining troops in the inner city will be used to fill this formation’s troop capacity, forming the garrison team of the shelter. If there are no remaining troops in the shelter, it is considered that there is no defense team.\n2. Troops supporting other allies will participate in their Defense according to the Rally rules.
1468 | 1.土拨鼠领袖军衔由多个军事演练组成，只有将所有军事演练都提升至指定等级才可以晋升军衔。\n2.军事演练和军衔可以为土拨鼠领袖带来大量属性增益。\n3.部分属性说明\n<font color ="#ee8701">集结伤害加成：</font>发起集结时给全队带来的伤害加成\n<font color ="#ee8701">集结受伤减免：</font>发起集结时给全队带来的受伤减免 | 1. The Groundhog Leader’s rank is made up of multiple Military Drills. Only by raising all Military Drills to the required level can the rank be promoted.\n2. Military Drills and rank grant the Groundhog Leader a large amount of stat bonuses.\n3. Explanation of some attributes\n<font color ="#ee8701">Rally Damage Increase:</font>The damage increase granted to the whole team when launching a Rally\n<font color ="#ee8701">Rally Wounded Reduction:</font>The wounded reduction granted to the whole team when launching a Rally
1469 | 土拨鼠领袖可以在此查看自己的各个方面的战力，并查看自己所在服务器的排名和评级，以更全面地提升自己。 | Here, Groundhog Leaders can view their Power in various aspects and check their server’s Rank and rating, helping them improve more comprehensively.
1470 | 1.活动期间，每隔一定时间会获得免费的补给道具。\n2.免费的补给道具存在持有上限，请尽快使用。\n3.活动结束后，补给道具将清空。 | 1.During the Event, you will receive free supply items at fixed intervals.\n2.There is a maximum capacity for free supply items, so please use them as soon as possible.\n3.After the Events end, all supply items will be cleared.
1471 | 1.盟友聚集在一起，可以方便大家一起集结以及参与活动。\n2.盟主和官员可以发起迁城邀请，接受邀请的玩家将会在盟主和官员身边聚集。 | 1.Allies gather together so everyone can easily gather and take part in events.\n2.The Alliance Leader and Officers can send City Relocation invitations, and players who accept will be relocated next to the Leader or Officers.
1472 | 挑战方加成来源：发起挑战或者集结的土拨鼠领袖\n防守方加成来源：集结编队中综合战力最高的土拨鼠领袖 | Attacker bonus source: the Marmot Leader who initiates the challenge or Rally\nDefender bonus source: the Marmot Leader with the highest overall Power in the Rally formation
1473 | 1.开服11天后，服务器排名前20名，且联盟等级达5级，成员人数大于30人的联盟，可每天获得1列联盟列车。\n2.联盟列车需要由盟主或官员指定列车长，由列车长选择自己的编队护送。（默认选择编队1）\n3.选定队长后的6小时，商队将自动出发前往贸易。等待期间，成员可以选择商队中的任意货船进行排队，在发车前的5分钟，商队将暂停排队，从当前排队的成员中随机1名成员上车。\n4.联盟列车到达目的地后，队长可以获得商队中所有的剩余货物奖励，上车的成员则可以获得自己货船中剩余的货物奖励。\n5.联盟列车在行驶的过程中，可以被其他玩家劫掠，最多可以被劫掠3次。 | 1.After the server has been open for 11 days, any Alliance that is within the top 20 in server Rank, has reached Alliance Lv.5, and has more than 30 members can receive 1 Alliance Train per day.\n2.The Alliance Train requires the Alliance Leader or Officers to appoint a Train Captain, who will choose their own formation to escort it.（Formation 1 is selected by default）\n3.6h after the Captain is appointed, the Alliance Train will automatically depart for trade. While waiting, members can queue for any cargo ship in the Alliance Train. In the last 5min before departure, the Alliance Train will stop accepting new queues, and 1 member will be randomly selected from the current queue to board.\n4.After the Alliance Train reaches its destination, the Captain receives the remaining cargo rewards from all ships in the Alliance Train, while the boarded member receives the remaining cargo rewards from their own ship.\n5.While the Alliance Train is en route, it can be plundered by other players, up to 3 times.
1474 | 1.居民满意度代表了居民对您统治的满意程度，满意度越高，越能说明您的治理有方。\n2.满意度受到多方面因素的影响：餐厅设施中的饱腹度，医务室设施中的健康度，健身房设施中的活力度以及来自您每日处理居民求助来信的结果反馈。\n3.升级餐厅、医务室内部设施，妥善处理居民求助来信，可以提升居民满意度。满意度较高时，居民积极性更高，可以提升内城资源产出效率；但满意度较低时，也可能触发负面事件影响避难所，请妥善处理。满意度不会对避难所的生产力产生影响。\n4.人口数量对于满意度也存在影响，当避难所人口逐渐变多时，居民对于设施的要求也会不断变高，故请及时提升设施等级。\n5.房间发生的突发事件也会扣除一定的满意度。\n6.每天0点会根据您当日的最大居民满意度，发放不同的奖励。奖励分为5个档位，分别需要满意度达到10%、30%、50%、70%、90%。 | 1.Resident Satisfaction represents how satisfied residents are with your rule; the higher the Satisfaction, the more it reflects your effective governance.\n2.Satisfaction is influenced by many factors: the Fullness provided by Canteen facilities, the Health provided by Clinic facilities, the Vitality provided by Gym facilities, and the feedback results from how you handle residents’ daily letters asking for help.\n3.Upgrading the internal facilities of the Canteen and Clinic, and properly handling residents’ letters of request can increase Resident Satisfaction. When Satisfaction is high, residents are more motivated, which can improve Inner City resource production efficiency; however, when Satisfaction is low, negative events may be triggered that affect the Shelter, so please handle it properly. Satisfaction will not reduce the Shelter's productivity.\n4.Population also affects Satisfaction. As the Shelter population gradually increases, residents’ expectations for facilities will continue to rise, so please upgrade your facilities in time.\n5.Emergencies occurring in rooms will also reduce Satisfaction by a certain amount.\n6.Every day at 0:00, different rewards will be issued based on the highest Resident Satisfaction you reached that day. There are 5 reward tiers, which require Satisfaction to reach 10%, 30%, 50%, 70%, and 90%, respectively.
1475 | 集结进攻方：发起集结的成员为队长\n集结防守方：编队总战力最高的成员将自动成为队长，战力通过英雄战力以及军事相关属性战力计算 | Rally (Offense): The member who initiates the Rally will be the leader\nRally (Defense): The member with the highest total formation Power will automatically become the leader. Power is calculated based on Heros Power and Military-related attribute Power
1476 | 充值赠礼：进行任意充值可累计充值进度获取奖励 | Top-Up Bonus: Make any purchase to accumulate top-up progress and claim rewards
1477 | 当联盟完成对应成就时，在联盟中的成员可以领取对应成就奖励 | When the Alliance completes the corresponding achievement, members of the Alliance can claim the corresponding achievement rewards
1478 | 1.仅有盟主和官员可以发起投票；2.投票仅在有效期内可以进行投票；3.当投票记录超过30条时，系统将自动清理旧的投票记录 | 1. Only the Alliance Leader and Officers can initiate a vote;2. Votes can only be cast while the poll is within its valid period;3. When there are more than 30 voting records, the system will automatically delete the oldest ones
1479 | 1.随着种植园的等级提升，可以选择更高级的农作物种植；\n2.更高级的农作物可以提升种植园的食物产量，推荐土拨鼠领袖大人及时切换并种植更高级的农作物； | 1.As the level of the Plantation increases, you can choose higher-tier crops to plant;\n2.Higher-tier crops can increase the Plantation’s Food output, so Lord Marmot is advised to promptly switch and plant higher-tier crops;
1480 | 守卫避难所玩法分为多个章节，根据通关的章节数，土拨鼠领袖可获得挂机收益（章节数越高奖励越丰厚）。 | The Guarding the Shelter mode is divided into multiple chapters. Based on the number of chapters cleared, the Groundhog Leader can get AFK rewards（. The higher the number of chapters, the better the rewards）.
1481 | 1.土拨鼠领袖可以消耗时空稳定器进行时空招募，揭开全部时空虫洞必定获得本轮全部奖励。\n2.随着奖池轮数增加，进行1次时空招募的时空稳定器会增加，奖池的奖励也会越来越丰厚。\n3.本活动心愿奖励的综合中奖率约为2%。 | 1. The Groundhog Leader can consume Time-Space Stabilizers to perform Time-Space Recruitment. Revealing all Time-Space Wormholes will guarantee all rewards for the current round.\n2. As the pool round increases, the number of Time-Space Stabilizers required for each Time-Space Recruitment will increase, and the rewards in the pool will become more and more generous.\n3. The overall probability of obtaining a Wish Reward in this Event is approximately 2%.
1482 | 1.土拨鼠领袖完成指定任务后可解锁拼图。\n2.解锁一行或一列拼图后，可额外解锁累计进度奖励。\n3.解锁全部拼图后可获得时空挑战宝箱中的全部奖励。 | 1. The Groundhog Leader can unlock puzzle pieces after completing the specified tasks.\n2. After unlocking an entire row or column of the puzzle, you can additionally unlock cumulative progress rewards.\n3. After unlocking all puzzle pieces, you can claim all rewards from the Spacetime Challenge Chest.
1483 | 1.土拨鼠领袖大人可以使用加速道具，缩短加速时间。\n2.如果使用的加速道具存在溢出，溢出的时间将会转化为对应等额的加速道具返还到您的背包中。\n3.一键加速将为您使用最优加速方案。\n4.也可以使用钻石一键完成加速，加速时间越长，消耗钻石数量越多。 | 1. As the esteemed Groundhog Leader, you can use Speedup items to shorten the Speedup time.\n2. If the Speedup items you use would cause an overflow, any excess time will be converted into Speedup items of equivalent value and returned to your Backpack.\n3. One-Tap Speedup will apply the optimal Speedup plan for you.\n4. You can also spend Gems to instantly finish the Speedup; the longer the Speedup time, the more Gems it will cost.
1484 | 1.生产力 =食物生产力+木材生产力+金币生产力。\n2.基础资源的生产力由资源建筑本身决定，资源建筑产出越高，生产力越高。\n3.建筑生产力不受时代科技、研究院科技等加成影响，仅与资源建筑本身设施养成和委任工人数量有关。 | 1.Productivity  = Food Productivity + Wood Productivity + Gold Productivity.\n2.The Productivity of basic resources is determined by the resource buildings themselves; the higher the output of a resource building, the higher its Productivity.\n3.Building Productivity is not affected by Era Tech, Research Institute Tech, and other bonuses; it only depends on the facility development of the resource building itself and the number of workers assigned.
1485 | 1.土拨鼠领袖可以选择投资方案投入钻石，经过固定周期取出可以获得更多钻石。\n2.土拨鼠领袖每次仅能同时选择一种投资方案。\n3.{buildtype_101}等级越高，单次投入的钻石数量上限越大。\n4.对于已选择的投资方案，可以选择取消投资，但仅可取回本金。 | 1. The Groundhog Leader can choose an investment plan and invest Gems. After a fixed period, they can withdraw and gain additional Gems.\n2. The Groundhog Leader can only choose one investment plan at a time.\n3.{buildtype_101}The higher the level, the greater the maximum amount of Gems that can be invested in a single investment.\n4. For a selected investment plan, you can choose to cancel the investment, but only the principal will be returned.
1486 | 1.当您订阅来自原始奇兵的通知后，才可以接收选择开启的消息通知。\n2.由于微信平台机制，在订阅时，若您仅订阅一次通知消息，您只能收到首个触发的通知提醒。若您需要更及时地收到所有消息，请勾选【总是保持以上选择】。 | 1. You can only receive the notifications you enable after you subscribe to notifications from Original Vanguard.\n2. Due to WeChat platform rules, if you subscribe to only one notification when subscribing, you will only receive the first triggered notification alert. If you want to receive all messages more promptly, please check 【Always keep the above selections】.
1487 | 1.当土拨鼠领袖大人激活了特定的时代科技后，即可开启自动采集。\n2.研究特定的时代可以，还可以增加自动采集的基础采集速度和采集获得资源量。\n3.激活自动采集后，土拨鼠领袖也可以使用限时的快速采集功能，快速采集可以大幅提升短期自动采集速度和采集获得资源量。\n4.每日拥有10分钟的免费快速采集时长，土拨鼠领袖大人也可以通过购买月卡，获取共计1小时的每日快速采集时长； | 1.Once the Marmot Leader has activated the required Age Tech, Auto Gathering will be unlocked.\n2.By conducting Research on specific Ages, you can further increase the base Auto Gathering speed and the amount of resources obtained.\n3.After Auto Gathering is activated, the Marmot Leader can also use the limited-time Quick Gathering feature, which greatly boosts short-term Auto Gathering speed and the amount of resources obtained.\n4.Each day you have 10 min of free Quick Gathering time, and the Marmot Leader can also purchase a Monthly Card to gain a total of 1 hr of Quick Gathering time per day；
1488 | 1.攻击他人避难所，阵亡率为35%，被攻击的避难所，重伤率为35%。\n\n2.目标避难所的防守队伍由城防营中的部队和留在避难所中士兵构成，另外，目标的盟友可以派遣队伍支援，多个队伍将按照集结规则，形成1队防守队伍。\n\n3.若攻方队伍成功击败避难所中的防守队伍，则可按照战斗后的剩余兵力拆除目标避难所的城防营耐久值，并掠夺目标避难所中不受保护的资源，掠夺到的资源无法超出剩余兵力可负载的资源量。\n\n4.掠夺到的资源每日存在上限，超出上限的部分无法掠夺，掠夺上限与掠夺方的{buildtype_101}等级相关，等级越高，上限越高。 | 1.When you Attack another Shelter, the attacker’s death rate is 35%, and the attacked Shelter’s serious injury rate is 35%.\n\n2.The target Shelter’s defending troops are composed of units from its City Defense and soldiers remaining in the Shelter. In addition, the target’s allies can send troops as support. Multiple supporting marches will be combined into 1 defending troop according to Rally rules.\n\n3.If the attacking troops successfully defeat the defending troops in the Shelter, they will reduce the target Shelter’s City Defense Durability based on the remaining troops after battle, and plunder unprotected resources in the target Shelter. The plundered resources cannot exceed the amount that can be carried by the remaining troops’ Load.\n\n4.There is a daily cap on the resources you can plunder. Any amount exceeding the cap cannot be plundered. The plunder cap is related to the plundering side’s {buildtype_101} level: the higher the level, the higher the cap.
1489 | 1.自动出征需要设置编队和士兵进行出征，出征会占用对应的编队和士兵，如果缺少空闲中的编队或者缺少士兵，无法进行自动出征。\n2.编队每次回城后，编队都会按照预设的士兵数量带上对应的士兵再次出征，如果缺少士兵，则会按照城内士兵情况尽量补足后出征。\n3.自动出征的队列数量根据玩家的编队数量解锁，最多可以拥有3的自动出征队列。\n4.玩家可以预设自动出征讨伐的海盗等级范围，设置使用的体力道具数量以及自动出征在伤兵达到一定数量后停止出征。\n5.自动出征将在退出游戏、体力耗尽、战斗失败后终止。 | 1.Auto Deployment requires you to set a formation and assign soldiers. The formation and soldiers used for deployment will be occupied; if there is no idle formation available or not enough soldiers, Auto Deployment cannot be carried out.\n2.After each return to the city, the formation will automatically take the preset number of soldiers and head out again. If there are not enough soldiers, it will be refilled as much as possible based on the soldiers available in the city before departing.\n3.The number of Auto Deployment queues is unlocked based on the number of formations the player has, up to a maximum of 3 Auto Deployment queues.\n4.Players can preset the level range of pirates to be automatically attacked, the number of Stamina items to use, and a wounded-soldier threshold at which Auto Deployment will stop.\n5.Auto Deployment will end when you exit the game, run out of Stamina, or lose a battle.
1490 | 1.每位土拨鼠领袖仅可购买一次生存试炼礼包\n2.提升避难所等级可以获得免费奖励，购买成功后解锁更多丰厚奖励 | 1.Each Groundhog Leader can only purchase the Survival Trial Pack once\n2.Leveling up your Shelter grants free rewards; purchasing the Pack unlocks even more valuable rewards
1491 | 1.等级最高的5名英雄会被记录。\n2.剩余全体英雄等级将会共鸣提升至5名英雄中的最低等级。\n3.玩家每次升级英雄后，会重新记录等级最高的5名英雄等级，并重新共鸣到剩余全体英雄。 | 1.The 5 Heros with the highest levels will be recorded.\n2.All remaining Heros will have their levels resonated up to the lowest level among these 5 Heros.\n3.Each time the player upgrades a Hero, the 5 highest-level Heros will be recorded again, and all remaining Heros will have their levels resonated up accordingly.
1492 | 1.持续登录，领取对应等级奖励。\n2.活动有效期内，完成任务即可领取免费奖励，此外可随时购买礼包解锁豪华奖励。 | 1.Log in continuously to claim rewards for each level.\n2.During the Event period, complete missions to claim free rewards, and you can also purchase Packs at any time to unlock deluxe rewards.
1493 | 1.参与擂台挑战，次数达标领取对应等级奖励。\n2.活动有效期内，完成任务即可领取免费奖励，此外可随时购买礼包解锁豪华奖励。 | 1. Take part in Ring challenges; Claim the corresponding tier reward once you reach the required number of attempts.\n2. During the Event period, complete tasks to claim free rewards, and you can also purchase Packs at any time to unlock deluxe rewards.
1494 | 1.宣战次数每日0点回复1次。\n2.宣战次数上限为2次。\n3.每日宣战时间为1:00-11:00，宣战之后不可取消，请合理规划攻城计划。\n4.宣战需要由联盟盟主或官员发起。 | 1. One declaration of war attempt is restored every day at 0:00 hr server time.\n2. The maximum number of declaration of war attempts is 2.\n3. The daily declaration of war period is 1:00-11:00 hr. Once declared, it cannot be canceled, so please plan your siege operations accordingly.\n4. Declarations of war can only be initiated by the Alliance Leader or Alliance Officers.
1495 | 1.活动期间领袖讨伐普通丧尸有机会获得新鲜骨头和巨狼遗宝。\n2.使用新鲜骨头搜寻并讨伐丧尸巨狼，可以获得指定的英雄和碎片奖励。\n3.领袖需要加入联盟才能搜寻并集结讨伐丧尸巨狼。 | 1.During the Events, Leaders have a chance to get Fresh Bones and Wolves's Treasure by defeating normal zombies.\n2.Use Fresh Bones to search for and defeat the Zombie Direwolf to get specific Heros and Hero Shard rewards.\n3.Leaders must join an Alliance so they can search for and Rally against the Zombie Direwolf.
1496 | 完成任务获取积分，领取积分阶段奖励，并根据积分高低决出胜者！ | Complete quests to earn Points, Claim stage rewards, and determine the winner based on total Points!
1497 | 根据不同主题日的任务条件获取积分，开启对应的个人积分宝箱。个人获取的积分也会为同盟累计积分，并解锁同盟宝箱。 | Earn Points by completing objectives for each themed day to unlock the corresponding Personal Points Chests. The Points you earn also contribute to your Alliance’s total, unlocking Alliance Chests.
1498 | 每个主题日根据双方同盟最终的总积分比较，积分更高的联盟取胜并获得当日的胜场积分。活动结算时，根据双方联盟的胜场积分和决出胜者。 | On each themed day, the two Alliances’ final total Points are compared; the Alliance with more Points wins and earns that day’s win Points. When the Event ends, the winner is determined based on both Alliances’ win Points.
1499 | 1.土拨鼠领袖必须<font color =#ee8701>加入联盟</font>。\n2.土拨鼠领袖的避难所等级需要达到<font color =#ee8701>10</font>级。\n3.对于服务器内实力较高的联盟将会匹配其他战力相近的联盟作为对手。\n4.未能匹配到对手的联盟仍然可以完成每日任务获取个人联盟积分奖励以及每日的排名奖励，但是无法获得最终胜负奖励。 | 1.The Groundhog Leader must<font color =#ee8701>join an Alliance</font>.\n2.The Groundhog Leader’s Shelter level needs to reach<font color =#ee8701>10</font>.\n3.Alliances with higher Power on the server will be matched against other Alliances with similar Power as opponents.\n4.Alliances that fail to be matched with an opponent can still complete Daily Quests to earn personal Alliance Points rewards and daily Rank rewards, but cannot get the final outcome rewards.
